Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.941546946,0.30%,0.00%,6005,-10.90%,17.40%,54554,0.20%,-14.80%,124,-3,0,$138K,-4.90%,-13.80%,9958,55.40%,-7.10%,1/31/2012,All Residential,"Chicago, IL metro area"
,,,3738,-24.80%,14.90%,25277,1.80%,-24.70%,82,0,-15,$149K,-4.30%,1.20%,7364,64.30%,-6.90%,1/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.957863521,-0.10%,0.60%,3034,-33.40%,6.20%,24765,-0.80%,-24.10%,83,-1,6,$140K,-12.70%,1.90%,6554,52.40%,-9.00%,1/31/2012,All Residential,"Houston, TX metro area"
0.97582478,0.10%,-0.40%,5132,-21.90%,0.50%,25137,0.00%,-18.40%,67,2,-2,$290K,-4.90%,-3.30%,8328,51.70%,-9.90%,1/31/2012,All Residential,"Los Angeles, CA metro area"
0.953884939,0.00%,-0.50%,2240,-12.60%,-5.70%,,,,,,,$140K,-3.60%,16.70%,,,,1/31/2012,All Residential,"Miami, FL metro area"
0.960464492,-0.20%,-0.40%,2149,-22.70%,-17.70%,18114,3.80%,-21.00%,126,4,-3,$110K,-4.30%,15.50%,3727,27.50%,0.60%,1/31/2012,All Residential,"Orlando, FL metro area"
0.935486144,-0.70%,-1.00%,2166,-18.20%,12.00%,21209,11.00%,83.10%,126,0,6,$195K,-4.50%,-7.20%,4638,87.80%,93.30%,1/31/2012,All Residential,"Philadelphia, PA metro area"
0.979475714,-0.50%,0.40%,860,-30.60%,3.00%,2828,2.80%,-31.70%,52,9,-5,$564K,-2.70%,-1.90%,1369,110.30%,-17.30%,1/31/2012,All Residential,"San Francisco, CA metro area"
0.98987693,0.40%,0.30%,1073,-22.60%,-0.60%,2732,0.80%,-38.90%,43,6,-11,$425K,-5.50%,-4.70%,1580,76.10%,-9.60%,1/31/2012,All Residential,"San Jose, CA metro area"
0.972485092,-0.30%,0.60%,1945,-28.90%,16.50%,10591,-5.30%,-27.30%,70,1,-21,$252K,-5.10%,-11.00%,2845,49.30%,-16.70%,1/31/2012,All Residential,"Seattle, WA metro area"
0.973527481,-0.10%,-0.20%,4281,-17.10%,0.00%,17198,-4.40%,-23.10%,66,8,0,$282K,-5.50%,2.50%,5828,56.00%,-4.30%,1/31/2012,All Residential,"Washington, DC metro area"
0.940275386,0.10%,0.80%,2057,-4.30%,0.90%,15938,4.00%,-16.90%,97,3,-8,$115K,-4.80%,-4.20%,3433,36.40%,0.10%,1/31/2012,All Residential,"West Palm Beach, FL metro area"
0.951102236,-0.10%,0.00%,2878,2.00%,29.20%,26444,7.70%,2.30%,142,10,0,$255K,-5.20%,-1.90%,6278,27.20%,32.10%,2/29/2012,All Residential,"Boston, MA metro area"
0.940371009,-0.10%,-0.20%,5044,-16.00%,23.90%,56373,3.30%,-13.70%,133,9,10,$132K,-4.30%,-8.20%,11861,19.10%,11.00%,2/29/2012,All Residential,"Chicago, IL metro area"
,,,4469,19.60%,23.90%,26260,3.90%,-22.50%,83,1,-13,$153K,2.50%,2.10%,8228,11.70%,14.40%,2/29/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.95904237,0.10%,0.60%,3785,24.80%,15.10%,24770,0.00%,-24.50%,84,1,-2,$150K,7.10%,-0.90%,6944,6.00%,1.40%,2/29/2012,All Residential,"Houston, TX metro area"
0.976326461,0.10%,-0.40%,5370,4.60%,12.00%,24150,-3.90%,-22.10%,66,-1,-9,$300K,3.40%,-4.10%,8201,-1.50%,-6.60%,2/29/2012,All Residential,"Los Angeles, CA metro area"
0.953943558,0.00%,-0.50%,2229,-0.50%,-2.80%,,,,,,,$145K,3.60%,20.80%,,,,2/29/2012,All Residential,"Miami, FL metro area"
0.963338789,0.30%,-0.30%,2455,14.20%,-9.90%,18554,2.40%,-16.50%,119,-7,-14,$114K,3.60%,17.50%,3703,-0.60%,7.60%,2/29/2012,All Residential,"Orlando, FL metro area"
0.933496434,-0.20%,-0.70%,1897,-12.40%,13.40%,22922,8.10%,83.40%,128,2,0,$193K,-1.20%,-1.30%,5387,16.10%,103.00%,2/29/2012,All Residential,"Philadelphia, PA metro area"
0.9860087,0.70%,1.00%,1023,19.00%,18.00%,2787,-1.40%,-36.80%,53,1,-14,$600K,6.30%,7.10%,1530,11.80%,-13.70%,2/29/2012,All Residential,"San Francisco, CA metro area"
0.991386982,0.20%,0.60%,1178,9.80%,5.40%,2565,-6.10%,-43.50%,33,-10,-23,$450K,5.90%,3.30%,1620,2.50%,-11.50%,2/29/2012,All Residential,"San Jose, CA metro area"
0.975330329,0.30%,0.90%,2302,18.40%,26.60%,10129,-4.40%,-31.20%,76,6,-14,$260K,3.40%,-10.40%,3499,23.00%,-6.10%,2/29/2012,All Residential,"Seattle, WA metro area"
0.975772736,0.20%,0.00%,4154,-3.00%,1.90%,17257,0.30%,-22.50%,67,1,-3,$283K,0.30%,4.70%,6834,17.30%,2.30%,2/29/2012,All Residential,"Washington, DC metro area"
0.941084472,0.10%,0.80%,2113,2.70%,8.50%,15945,0.00%,-14.80%,91,-6,-14,$120K,4.30%,7.10%,3168,-7.70%,2.10%,2/29/2012,All Residential,"West Palm Beach, FL metro area"
0.956568022,0.50%,0.30%,3861,34.20%,16.80%,29899,13.10%,0.80%,142,0,-5,$270K,5.90%,1.10%,9076,44.60%,0.50%,3/31/2012,All Residential,"Boston, MA metro area"
0.944685387,0.40%,0.10%,6701,32.90%,9.70%,58328,3.50%,-13.80%,134,1,7,$141K,6.80%,-4.70%,14313,20.70%,-5.20%,3/31/2012,All Residential,"Chicago, IL metro area"
,,,5955,33.30%,12.80%,27341,4.10%,-22.70%,68,-15,-18,$160K,4.60%,8.80%,9826,19.40%,-6.60%,3/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.963109555,0.40%,0.60%,4925,30.10%,6.30%,25088,1.30%,-24.60%,77,-7,-9,$164K,9.40%,9.40%,8454,21.70%,-4.40%,3/31/2012,All Residential,"Houston, TX metro area"
0.978540694,0.20%,-0.10%,6906,28.60%,3.30%,22478,-6.90%,-27.70%,63,-3,-6,$310K,3.30%,-3.10%,8450,3.00%,-17.80%,3/31/2012,All Residential,"Los Angeles, CA metro area"
0.9580748,0.40%,0.20%,2822,26.60%,-8.30%,,,,,,,$150K,3.40%,25.00%,,,,3/31/2012,All Residential,"Miami, FL metro area"
0.96530386,0.20%,0.00%,3085,25.70%,-7.40%,18390,-0.90%,-14.70%,121,2,-13,$117K,2.40%,13.10%,3732,0.80%,-7.60%,3/31/2012,All Residential,"Orlando, FL metro area"
0.937797428,0.40%,-0.50%,2403,26.70%,5.10%,22262,-2.90%,58.60%,129,1,-8,$195K,1.30%,-4.90%,6281,16.60%,55.90%,3/31/2012,All Residential,"Philadelphia, PA metro area"
0.996553385,1.10%,1.90%,1436,40.40%,7.00%,2718,-2.50%,-40.90%,25,-28,-13,$625K,4.20%,-3.10%,1820,19.00%,-10.10%,3/31/2012,All Residential,"San Francisco, CA metro area"
1.000182944,0.90%,1.30%,1620,37.50%,2.40%,2319,-9.60%,-49.40%,21,-12,-18,$488K,8.30%,2.60%,1851,14.30%,-15.10%,3/31/2012,All Residential,"San Jose, CA metro area"
0.979720858,0.40%,1.00%,2971,29.10%,8.30%,9696,-4.30%,-35.00%,70,-6,-20,$274K,5.40%,-5.40%,4160,18.90%,-7.10%,3/31/2012,All Residential,"Seattle, WA metro area"
0.978379297,0.30%,0.10%,5137,23.70%,-8.00%,18441,6.90%,-21.80%,54,-13,-13,$305K,7.90%,7.60%,9796,43.30%,-0.10%,3/31/2012,All Residential,"Washington, DC metro area"
0.937815346,-0.30%,0.90%,2646,25.20%,-11.40%,15574,-2.30%,-13.90%,97,6,-13,$120K,0.00%,9.10%,3297,4.10%,-1.90%,3/31/2012,All Residential,"West Palm Beach, FL metro area"
0.98058651,0.50%,1.30%,5974,35.20%,10.10%,29670,9.10%,-11.10%,79,-9,-14,$328K,4.10%,5.80%,9915,-0.80%,21.90%,5/31/2013,All Residential,"Boston, MA metro area"
0.969640939,0.40%,1.90%,10274,9.00%,23.50%,51206,2.70%,-15.10%,81,-10,-28,$173K,8.10%,8.10%,15875,-0.30%,13.90%,5/31/2013,All Residential,"Chicago, IL metro area"
,,,9068,13.40%,24.70%,22848,1.50%,-18.80%,35,-2,-14,$187K,3.90%,10.10%,10830,-1.00%,11.00%,5/31/2013,All Residential,"Dallas-Fort Worth, TX metro area"
0.977377607,0.30%,0.80%,7688,18.20%,25.90%,20073,2.80%,-21.70%,33,-5,-17,$189K,1.40%,11.00%,9829,6.90%,15.90%,5/31/2013,All Residential,"Houston, TX metro area"
1.008644779,0.30%,2.40%,7583,10.20%,1.50%,10760,5.20%,-46.10%,15,-1,-33,$415K,3.80%,30.10%,8505,-0.40%,1.40%,5/31/2013,All Residential,"Los Angeles, CA metro area"
0.968188755,-0.10%,0.70%,3324,6.10%,14.70%,,,,,,,$197K,3.70%,23.10%,,,,5/31/2013,All Residential,"Miami, FL metro area"
0.976775247,-0.10%,0.50%,2388,-24.60%,-24.30%,15595,-1.00%,-14.80%,96,5,-9,$145K,0.00%,20.80%,4074,-1.60%,6.40%,5/31/2013,All Residential,"Orlando, FL metro area"
0.959573622,0.80%,0.80%,3963,16.80%,15.90%,20241,2.30%,-12.00%,54,-19,-19,$220K,5.80%,0.20%,6334,-8.80%,17.70%,5/31/2013,All Residential,"Philadelphia, PA metro area"
1.061618304,0.50%,4.50%,1720,17.40%,7.00%,2183,5.30%,-20.80%,13,0,-5,$860K,1.80%,27.40%,1999,-1.10%,9.20%,5/31/2013,All Residential,"San Francisco, CA metro area"
1.06026339,0.10%,4.50%,1644,8.00%,-14.10%,1813,14.50%,-17.40%,10,0,-5,$703K,-0.60%,30.10%,2075,6.40%,5.10%,5/31/2013,All Residential,"San Jose, CA metro area"
1.008580446,0.40%,1.90%,4321,13.30%,20.00%,7517,14.60%,-21.20%,12,-3,-24,$349K,6.00%,17.10%,5673,15.40%,26.30%,5/31/2013,All Residential,"Seattle, WA metro area"
0.993109873,0.20%,0.80%,7750,22.00%,11.30%,15992,10.80%,-15.20%,14,-4,-12,$375K,5.60%,9.60%,10784,0.90%,25.20%,5/31/2013,All Residential,"Washington, DC metro area"
0.946455771,-0.30%,0.90%,2958,-4.80%,3.10%,12999,-1.80%,-11.10%,83,5,-9,$178K,11.10%,27.00%,3638,0.50%,25.00%,5/31/2013,All Residential,"West Palm Beach, FL metro area"
0.963117438,0.70%,0.60%,4215,9.20%,14.80%,32437,8.50%,-2.90%,113,-29,-14,$285K,5.60%,2.50%,8668,-4.50%,-6.60%,4/30/2012,All Residential,"Boston, MA metro area"
0.946340634,0.20%,0.20%,6777,1.10%,17.00%,59884,2.70%,-13.20%,126,-8,-8,$155K,9.90%,-3.10%,13731,-4.10%,0.00%,4/30/2012,All Residential,"Chicago, IL metro area"
,,,6224,4.50%,11.30%,27874,1.90%,-22.90%,52,-16,-20,$162K,1.60%,8.30%,9466,-3.70%,-2.30%,4/30/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.96580612,0.30%,0.80%,5152,4.60%,9.20%,25580,2.00%,-24.70%,56,-21,-19,$163K,-0.90%,9.20%,8571,1.40%,-0.20%,4/30/2012,All Residential,"Houston, TX metro area"
0.980938451,0.20%,0.20%,6665,-3.50%,5.20%,21368,-4.90%,-32.00%,53,-10,-5,$315K,1.60%,-2.20%,7983,-5.50%,-15.10%,4/30/2012,All Residential,"Los Angeles, CA metro area"
0.953403915,-0.50%,-0.50%,2588,-8.30%,-12.40%,,,,,,,$162K,8.00%,24.60%,,,,4/30/2012,All Residential,"Miami, FL metro area"
0.967216739,0.20%,0.50%,2952,-4.30%,-7.80%,18390,0.00%,-10.50%,105,-16,-29,$115K,-1.50%,9.50%,3779,1.30%,9.50%,4/30/2012,All Residential,"Orlando, FL metro area"
0.941350969,0.40%,0.00%,2550,6.10%,11.50%,22831,2.60%,47.90%,92,-37,-41,$199K,1.90%,-2.50%,5675,-9.60%,39.90%,4/30/2012,All Residential,"Philadelphia, PA metro area"
1.006955059,1.00%,2.50%,1470,2.40%,17.10%,2800,3.00%,-43.10%,21,-4,-12,$692K,10.70%,8.30%,1747,-4.00%,-14.00%,4/30/2012,All Residential,"San Francisco, CA metro area"
1.006036819,0.60%,1.60%,1674,3.30%,5.30%,2193,-5.40%,-54.50%,17,-4,-15,$525K,7.70%,7.90%,1722,-7.00%,-20.40%,4/30/2012,All Residential,"San Jose, CA metro area"
0.983931807,0.40%,1.10%,3202,7.80%,19.50%,9584,-1.20%,-36.70%,49,-21,-21,$290K,5.80%,0.30%,4296,3.30%,-5.10%,4/30/2012,All Residential,"Seattle, WA metro area"
0.981267816,0.30%,0.50%,5578,8.60%,2.50%,18906,2.50%,-24.90%,35,-19,-14,$322K,5.60%,7.40%,9048,-7.60%,-10.10%,4/30/2012,All Residential,"Washington, DC metro area"
0.938307318,0.00%,0.90%,2701,2.10%,6.10%,15173,-2.60%,-13.50%,91,-6,-17,$135K,12.50%,11.60%,3124,-5.20%,1.20%,4/30/2012,All Residential,"West Palm Beach, FL metro area"
0.96762724,0.50%,0.60%,5425,28.70%,28.50%,33372,2.90%,-6.80%,93,-20,-7,$310K,8.80%,3.30%,8131,-6.20%,-6.70%,5/31/2012,All Residential,"Boston, MA metro area"
0.950656223,0.40%,0.60%,8322,22.80%,19.50%,60301,0.70%,-14.40%,109,-17,-16,$160K,3.20%,2.60%,13932,1.50%,0.80%,5/31/2012,All Residential,"Chicago, IL metro area"
,,,7274,16.90%,20.40%,28149,1.00%,-21.60%,49,-3,-22,$170K,4.60%,7.50%,9756,3.10%,9.50%,5/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.96899718,0.30%,0.90%,6107,18.50%,23.10%,25652,0.30%,-23.60%,50,-6,-20,$170K,4.40%,8.90%,8482,-1.00%,6.10%,5/31/2012,All Residential,"Houston, TX metro area"
0.984536973,0.40%,0.50%,7472,12.10%,22.10%,19958,-6.60%,-37.50%,48,-5,-5,$319K,1.30%,0.90%,8385,5.00%,-13.00%,5/31/2012,All Residential,"Los Angeles, CA metro area"
0.960803037,0.70%,0.30%,2899,12.00%,5.80%,,,,,,,$160K,-1.20%,14.30%,,,,5/31/2012,All Residential,"Miami, FL metro area"
0.971738067,0.50%,1.00%,3155,6.90%,2.50%,18300,-0.50%,-7.40%,105,0,-27,$120K,4.30%,7.10%,3828,1.30%,11.40%,5/31/2012,All Residential,"Orlando, FL metro area"
0.951766566,1.00%,0.30%,3418,34.00%,25.10%,22994,0.70%,42.10%,73,-19,-39,$220K,10.40%,6.80%,5382,-5.20%,46.80%,5/31/2012,All Residential,"Philadelphia, PA metro area"
1.016300167,0.90%,3.40%,1607,9.30%,20.50%,2756,-1.60%,-44.50%,18,-3,-11,$675K,-2.50%,-0.70%,1830,4.80%,-4.80%,5/31/2012,All Residential,"San Francisco, CA metro area"
1.015369554,0.90%,2.40%,1913,14.30%,21.20%,2194,0.00%,-54.30%,15,-2,-12,$540K,2.90%,10.20%,1974,14.60%,-6.10%,5/31/2012,All Residential,"San Jose, CA metro area"
0.989281283,0.50%,1.50%,3600,12.40%,24.40%,9537,-0.50%,-37.20%,36,-13,-22,$298K,2.80%,7.60%,4490,4.50%,2.30%,5/31/2012,All Residential,"Seattle, WA metro area"
0.984689455,0.30%,0.60%,6964,24.80%,12.10%,18850,-0.30%,-25.50%,26,-9,-11,$342K,6.20%,8.60%,8610,-4.80%,-4.00%,5/31/2012,All Residential,"Washington, DC metro area"
0.937884606,0.00%,0.60%,2870,6.30%,-5.30%,14614,-3.70%,-13.70%,92,1,-12,$140K,3.70%,5.90%,2910,-6.90%,0.10%,5/31/2012,All Residential,"West Palm Beach, FL metro area"
0.969763873,0.20%,0.70%,6682,23.20%,19.60%,31885,-4.50%,-10.80%,92,-1,-1,$337K,8.70%,2.90%,6990,-14.00%,-11.00%,6/30/2012,All Residential,"Boston, MA metro area"
0.953053994,0.20%,0.90%,9480,13.90%,17.70%,59665,-1.10%,-14.70%,96,-13,-20,$175K,9.40%,2.90%,13267,-4.80%,1.70%,6/30/2012,All Residential,"Chicago, IL metro area"
,,,7549,3.80%,12.60%,28436,1.00%,-20.60%,49,0,-21,$173K,1.50%,8.50%,9414,-3.50%,2.10%,6/30/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.969557024,0.10%,0.80%,6371,4.30%,13.10%,25899,1.00%,-21.90%,47,-3,-20,$171K,0.70%,5.60%,8512,0.40%,5.00%,6/30/2012,All Residential,"Houston, TX metro area"
0.988147697,0.40%,0.90%,7717,3.30%,10.90%,18770,-6.00%,-41.10%,42,-6,-12,$328K,2.80%,2.50%,7915,-5.60%,-17.90%,6/30/2012,All Residential,"Los Angeles, CA metro area"
0.962945652,0.20%,0.70%,2811,-3.00%,-0.30%,,,,,,,$170K,6.30%,17.20%,,,,6/30/2012,All Residential,"Miami, FL metro area"
0.970800025,-0.10%,0.60%,3170,0.50%,-2.30%,18001,-1.60%,-5.30%,105,0,-27,$125K,4.20%,12.60%,3536,-7.60%,-0.70%,6/30/2012,All Residential,"Orlando, FL metro area"
0.951460946,0.00%,0.20%,3603,5.40%,7.10%,22490,-2.20%,37.30%,65,-8,-38,$230K,4.80%,-1.50%,4911,-8.80%,33.90%,6/30/2012,All Residential,"Philadelphia, PA metro area"
1.017545797,0.10%,3.40%,1645,2.40%,8.40%,2712,-1.60%,-45.30%,17,-1,-15,$727K,7.70%,7.00%,1700,-7.10%,-11.40%,6/30/2012,All Residential,"San Francisco, CA metro area"
1.021783131,0.60%,2.90%,1729,-9.60%,0.90%,2163,-1.40%,-54.20%,13,-2,-15,$580K,7.40%,12.60%,1705,-13.60%,-11.80%,6/30/2012,All Residential,"San Jose, CA metro area"
0.990196781,0.10%,1.70%,3753,4.30%,12.90%,9457,-0.80%,-39.00%,32,-4,-20,$310K,4.00%,8.00%,4224,-5.90%,-6.30%,6/30/2012,All Residential,"Seattle, WA metro area"
0.984905388,0.00%,0.70%,7546,8.40%,3.50%,18683,-0.90%,-25.90%,27,1,-8,$350K,2.30%,9.80%,7881,-8.50%,-7.80%,6/30/2012,All Residential,"Washington, DC metro area"
0.946909749,0.90%,1.30%,2891,0.70%,8.80%,14101,-3.50%,-14.20%,85,-7,-15,$144K,2.90%,15.60%,2634,-9.50%,-9.00%,6/30/2012,All Residential,"West Palm Beach, FL metro area"
0.97041793,0.10%,0.80%,5947,-11.00%,22.40%,30225,-5.20%,-12.50%,95,3,-1,$330K,-2.10%,2.30%,5906,-15.50%,-1.70%,7/31/2012,All Residential,"Boston, MA metro area"
0.954534587,0.10%,1.10%,9249,-2.40%,31.90%,58787,-1.50%,-14.60%,97,1,-16,$172K,-1.70%,-3.90%,12307,-7.20%,6.30%,7/31/2012,All Residential,"Chicago, IL metro area"
,,,7123,-5.60%,21.40%,27870,-2.00%,-19.80%,52,3,-21,$170K,-1.50%,6.30%,8934,-5.10%,10.50%,7/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.969810787,0.00%,0.90%,6266,-1.60%,24.40%,25343,-2.10%,-21.00%,52,5,-18,$170K,-0.60%,6.20%,7640,-10.20%,6.20%,7/31/2012,All Residential,"Houston, TX metro area"
0.991860887,0.40%,1.30%,7168,-7.10%,13.90%,17636,-6.00%,-44.30%,39,-3,-16,$335K,2.10%,3.60%,7658,-3.20%,-13.40%,7/31/2012,All Residential,"Los Angeles, CA metro area"
0.963997529,0.10%,1.00%,2672,-4.90%,10.70%,,,,,,,$160K,-5.90%,10.30%,,,,7/31/2012,All Residential,"Miami, FL metro area"
0.970799078,0.00%,0.80%,2969,-6.30%,3.90%,17826,-1.00%,-3.50%,105,0,-18,$125K,0.00%,6.80%,3554,0.50%,10.40%,7/31/2012,All Residential,"Orlando, FL metro area"
0.952852887,0.10%,0.10%,3754,4.20%,25.60%,21999,-2.20%,33.90%,66,1,-41,$232K,1.00%,-1.20%,4438,-9.60%,40.70%,7/31/2012,All Residential,"Philadelphia, PA metro area"
1.017317232,0.00%,3.40%,1487,-9.60%,14.00%,2565,-5.40%,-43.70%,17,0,-18,$715K,-1.70%,8.10%,1542,-9.30%,-1.00%,7/31/2012,All Residential,"San Francisco, CA metro area"
1.020737305,-0.10%,3.00%,1541,-10.90%,7.30%,2171,0.40%,-52.50%,14,1,-14,$586K,1.00%,15.40%,1642,-3.70%,-11.80%,7/31/2012,All Residential,"San Jose, CA metro area"
0.991464237,0.10%,1.80%,3587,-4.40%,28.70%,9337,-1.30%,-38.60%,29,-3,-25,$309K,-0.20%,9.10%,3961,-6.20%,-1.00%,7/31/2012,All Residential,"Seattle, WA metro area"
0.985193387,0.00%,0.60%,6301,-16.50%,6.00%,17840,-4.50%,-27.50%,29,2,-9,$360K,2.90%,6.80%,6795,-13.80%,-8.00%,7/31/2012,All Residential,"Washington, DC metro area"
0.947865423,0.10%,0.70%,2446,-15.40%,6.20%,13871,-1.60%,-12.20%,84,-1,-16,$139K,-3.60%,11.00%,2753,4.50%,8.50%,7/31/2012,All Residential,"West Palm Beach, FL metro area"
0.985721769,0.50%,1.60%,6896,15.40%,3.20%,29422,-0.80%,-7.70%,78,-1,-14,$355K,8.20%,5.30%,7905,-20.30%,13.10%,6/30/2013,All Residential,"Boston, MA metro area"
0.971501994,0.20%,1.80%,10676,3.90%,12.60%,51601,0.80%,-13.50%,77,-4,-19,$191K,10.40%,9.10%,15038,-5.30%,13.30%,6/30/2013,All Residential,"Chicago, IL metro area"
,,,8631,-4.80%,14.30%,23526,3.00%,-17.30%,34,-1,-15,$190K,1.60%,10.10%,10566,-2.40%,12.20%,6/30/2013,All Residential,"Dallas-Fort Worth, TX metro area"
0.979500962,0.20%,1.00%,7214,-6.20%,13.20%,20396,1.60%,-21.20%,30,-3,-17,$195K,3.20%,13.70%,9069,-7.70%,6.50%,6/30/2013,All Residential,"Houston, TX metro area"
1.012028905,0.30%,2.40%,7024,-7.40%,-9.00%,11914,10.70%,-36.50%,15,0,-27,$435K,4.80%,32.60%,8553,0.60%,8.10%,6/30/2013,All Residential,"Los Angeles, CA metro area"
0.969651006,0.10%,0.70%,3108,-6.50%,10.60%,,,,40,,,$203K,3.00%,19.40%,,,,6/30/2013,All Residential,"Miami, FL metro area"
0.979116401,0.20%,0.80%,3258,36.40%,2.80%,15738,0.90%,-12.60%,89,-7,-16,$150K,3.40%,20.00%,4036,-0.90%,14.10%,6/30/2013,All Residential,"Orlando, FL metro area"
0.961175587,0.20%,1.00%,4202,6.00%,16.60%,20148,-0.50%,-10.40%,48,-6,-17,$239K,8.80%,4.00%,5313,-16.10%,8.20%,6/30/2013,All Residential,"Philadelphia, PA metro area"
1.063126279,0.20%,4.60%,1572,-8.60%,-4.40%,2254,3.30%,-16.90%,14,1,-3,$851K,-1.10%,17.00%,1746,-12.70%,2.70%,6/30/2013,All Residential,"San Francisco, CA metro area"
1.055728039,-0.50%,3.40%,1576,-4.10%,-8.80%,2033,12.10%,-6.00%,11,1,-2,$705K,0.30%,21.60%,1938,-6.60%,13.70%,6/30/2013,All Residential,"San Jose, CA metro area"
1.008169193,0.00%,1.80%,4190,-3.00%,11.60%,8250,9.80%,-12.80%,12,0,-20,$350K,0.30%,12.90%,5347,-5.70%,26.60%,6/30/2013,All Residential,"Seattle, WA metro area"
0.994567354,0.10%,1.00%,8663,11.80%,14.80%,16443,2.80%,-12.00%,14,0,-13,$388K,3.50%,10.90%,9011,-16.40%,14.30%,6/30/2013,All Residential,"Washington, DC metro area"
0.952096003,0.60%,0.50%,3410,15.30%,18.00%,12475,-4.00%,-11.50%,80,-3,-5,$178K,0.10%,23.60%,3118,-14.30%,18.40%,6/30/2013,All Residential,"West Palm Beach, FL metro area"
0.969042842,-0.10%,0.90%,6537,9.90%,27.20%,27801,-8.00%,-15.20%,102,7,-3,$320K,-3.00%,1.30%,5679,-3.80%,-3.10%,8/31/2012,All Residential,"Boston, MA metro area"
0.954831424,0.00%,1.30%,10030,8.40%,21.30%,56527,-3.80%,-15.70%,98,1,-17,$170K,-1.50%,-3.30%,11841,-3.80%,1.20%,8/31/2012,All Residential,"Chicago, IL metro area"
